Date,Description,Amount,Category
1/03/2024,Casual Work Payment,280,Income
1/03/2024,Coles Supermarket Karrinyup,-87.43,Food & Groceries
2/03/2024,Transperth Smartrider Topup,-20,Transport
3/03/2024,Boost Juice Hay St,-8.5,Coffee & Snacks
4/03/2024,Spotify Premium,-11.99,Subscriptions
4/03/2024,McDonald's Northbridge,-13.2,Eating Out
5/03/2024,7-Eleven Beaufort St,-6.3,Coffee & Snacks
6/03/2024,Uber Eats - Grill'd,-24.5,Eating Out
7/03/2024,Cotton On Karrinyup,-54.99,Shopping
8/03/2024,Centrelink Youth Allowance,587,Income
8/03/2024,Rent - Realmark Property,-950,Bills & Utilities
9/03/2024,Synergy Power Bill,-143.2,Bills & Utilities
10/03/2024,Woolworths Metro City,-43.7,Food & Groceries
11/03/2024,Netflix Monthly,-17.99,Subscriptions
11/03/2024,Ampol Fuel Osborne Park,-72,Transport
12/03/2024,The Rechabite Northbridge,-67.5,Social
13/03/2024,Uber - Northbridge to Home,-18.4,Transport
13/03/2024,Boost Juice Garden City,-8.5,Coffee & Snacks
14/03/2024,Chemist Warehouse Morley,-22.4,Other
15/03/2024,JB Hi-Fi Joondalup,-349,Shopping
15/03/2024,Domino's Pizza Online,-32.8,Eating Out
16/03/2024,Curtin University Parking,-12,Transport
17/03/2024,ASOS Online Purchase,-134.99,Shopping
18/03/2024,Casual Work Payment,420,Income
19/03/2024,ASOS Refund,134.99,Shopping
19/03/2024,Coles Supermarket Karrinyup,-65.2,Food & Groceries
20/03/2024,Disney+ Monthly,-13.99,Subscriptions
21/03/2024,Hungry Jacks Murray St,-11.4,Eating Out
22/03/2024,Optus Phone Bill,-45,Bills & Utilities
23/03/2024,Lucky Chan's Northbridge,-48,Social
